2019-11-03 18:28:53.1127 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Обращение к базе данных для получения данных о пользователе 

2019-11-03 18:29:04.7011 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Обращение к базе данных для проверки подлиности данных авторизации 

2019-11-03 18:29:04.7216 | HotelEpam.Controllers.AccountController.Authorization | INFO | Пользователь aloha1 выполнил вход на сайт 

2019-11-03 18:29:38.4110 | HotelEpam.Controllers.HomeController.UserBookings | DEBUG | Обращение к базе данных, получение пользователя по логину 

2019-11-03 18:29:38.4110 | HotelEpam.Controllers.HomeController.UserBookings | DEBUG | Обращение к базе данных, получение комнат забронированых пользователем aloha1 

2019-11-03 18:29:38.6398 | HotelEpam.Controllers.HomeController.UserBookings | INFO | Возвращение забронированных пользователем комнат 

2019-11-03 18:29:42.8267 | HotelEpam.Controllers.HomeController.RoomReservation | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:29:46.0186 | HotelEpam.Controllers.HomeController.UserBookings | DEBUG | Обращение к базе данных, получение пользователя по логину 

2019-11-03 18:29:46.0186 | HotelEpam.Controllers.HomeController.UserBookings | DEBUG | Обращение к базе данных, получение комнат забронированых пользователем aloha1 

2019-11-03 18:29:46.0495 | HotelEpam.Controllers.HomeController.UserBookings | INFO | Возвращение забронированных пользователем комнат 

2019-11-03 18:30:26.5013 | HotelEpam.Controllers.HomeController.UserBookings | DEBUG | Обращение к базе данных, получение пользователя по логину 

2019-11-03 18:30:26.5013 | HotelEpam.Controllers.HomeController.UserBookings | DEBUG | Обращение к базе данных, получение комнат забронированых пользователем aloha1 

2019-11-03 18:30:26.5321 | HotelEpam.Controllers.HomeController.UserBookings | INFO | Возвращение забронированных пользователем комнат 

2019-11-03 18:30:27.2252 | HotelEpam.Controllers.HomeController.RoomReservation | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:30:44.4232 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 06.11.2019 00:00:00 по 08.11.2019 00:00:00 число 

2019-11-03 18:30:44.4700 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-03 18:30:50.4010 | HotelEpam.Controllers.HomeController.BookingRoomByUser | INFO | Обращение к базе данных для создания нового бронирования 

2019-11-03 18:30:50.7372 | HotelEpam.Controllers.HomeController.BookingRoomByUser | INFO | Бронирование комнаты 201 пользователем aloha1 

2019-11-03 18:30:50.7730 | HotelEpam.Controllers.HomeController.UserBookings | DEBUG | Обращение к базе данных, получение пользователя по логину 

2019-11-03 18:30:50.7760 | HotelEpam.Controllers.HomeController.UserBookings | DEBUG | Обращение к базе данных, получение комнат забронированых пользователем aloha1 

2019-11-03 18:30:50.8019 | HotelEpam.Controllers.HomeController.UserBookings | INFO | Возвращение забронированных пользователем комнат 

2019-11-03 18:30:53.1919 | HotelEpam.Controllers.HomeController.RoomReservation | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:31:06.0177 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 11.11.2019 00:00:00 по 12.11.2019 00:00:00 число 

2019-11-03 18:31:06.0326 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-03 18:31:09.0892 | HotelEpam.Controllers.HomeController.BookingRoomByUser | INFO | Обращение к базе данных для создания нового бронирования 

2019-11-03 18:31:09.0892 | HotelEpam.Controllers.HomeController.BookingRoomByUser | INFO | Бронирование комнаты 101 пользователем aloha1 

2019-11-03 18:31:09.1301 | HotelEpam.Controllers.HomeController.UserBookings | DEBUG | Обращение к базе данных, получение пользователя по логину 

2019-11-03 18:31:09.1360 | HotelEpam.Controllers.HomeController.UserBookings | DEBUG | Обращение к базе данных, получение комнат забронированых пользователем aloha1 

2019-11-03 18:31:09.1779 | HotelEpam.Controllers.HomeController.UserBookings | INFO | Возвращение забронированных пользователем комнат 

2019-11-03 18:31:23.6137 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Обращение к базе данных, получение комнат сводных с 09.11.2019 00:00:00 по 10.11.2019 00:00:00 число 

2019-11-03 18:31:23.6306 | HotelEpam.Controllers.HomeController.FreeRoomsForBooking | DEBUG | Установка куки даты проживания пользователя 

2019-11-03 18:31:46.0713 | HotelEpam.Controllers.HomeController.BookingRoomByUser | INFO | Обращение к базе данных для создания нового бронирования 

2019-11-03 18:31:46.0883 | HotelEpam.Controllers.HomeController.BookingRoomByUser | INFO | Бронирование комнаты 103 пользователем aloha1 

2019-11-03 18:31:46.1252 | HotelEpam.Controllers.HomeController.UserBookings | DEBUG | Обращение к базе данных, получение пользователя по логину 

2019-11-03 18:31:46.1252 | HotelEpam.Controllers.HomeController.UserBookings | DEBUG | Обращение к базе данных, получение комнат забронированых пользователем aloha1 

2019-11-03 18:31:46.1720 | HotelEpam.Controllers.HomeController.UserBookings | INFO | Возвращение забронированных пользователем комнат 

2019-11-03 18:31:53.5291 | HotelEpam.Controllers.HomeController.RoomReservation | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:31:54.7272 | HotelEpam.Controllers.HomeController.RoomReservation | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:31:55.7029 | HotelEpam.Controllers.HomeController.Exit | INFO | Пользователь aloha1 покинул систему 

2019-11-03 18:32:06.4971 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Обращение к базе данных для получения данных о пользователе 

2019-11-03 18:32:06.5130 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Обращение к базе данных для проверки подлиности данных авторизации 

2019-11-03 18:32:06.5130 | HotelEpam.Controllers.AccountController.Authorization | INFO | Пользователь alex-on-99 выполнил вход на сайт 

2019-11-03 18:32:08.4553 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:08.4640 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

2019-11-03 18:32:15.5644 | HotelEpam.Controllers.HomeController.ProcessingRequest | DEBUG | Обращение к базе данных, обновление бронирования комнаты 

2019-11-03 18:32:15.6073 | HotelEpam.Controllers.HomeController.ProcessingRequest | INFO | Обновление бронирование с 24 выполнено успешно 

2019-11-03 18:32:15.6223 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:15.6223 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

2019-11-03 18:32:16.2798 | HotelEpam.Controllers.HomeController.ProcessingRequest | DEBUG | Обращение к базе данных, обновление бронирования комнаты 

2019-11-03 18:32:16.2908 | HotelEpam.Controllers.HomeController.ProcessingRequest | INFO | Обновление бронирование с 26 выполнено успешно 

2019-11-03 18:32:16.2908 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:16.3127 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

2019-11-03 18:32:16.6930 | HotelEpam.Controllers.HomeController.ProcessingRequest | DEBUG | Обращение к базе данных, обновление бронирования комнаты 

2019-11-03 18:32:16.7039 | HotelEpam.Controllers.HomeController.ProcessingRequest | INFO | Обновление бронирование с 27 выполнено успешно 

2019-11-03 18:32:16.7179 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:16.7289 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

2019-11-03 18:32:17.0913 | HotelEpam.Controllers.HomeController.ProcessingRequest | DEBUG | Обращение к базе данных, обновление бронирования комнаты 

2019-11-03 18:32:17.0913 | HotelEpam.Controllers.HomeController.ProcessingRequest | INFO | Обновление бронирование с 28 выполнено успешно 

2019-11-03 18:32:17.1103 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:17.1193 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

2019-11-03 18:32:17.4473 | HotelEpam.Controllers.HomeController.ProcessingRequest | DEBUG | Обращение к базе данных, обновление бронирования комнаты 

2019-11-03 18:32:17.4473 | HotelEpam.Controllers.HomeController.ProcessingRequest | INFO | Обновление бронирование с 29 выполнено успешно 

2019-11-03 18:32:17.4764 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:17.4879 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

2019-11-03 18:32:17.8466 | HotelEpam.Controllers.HomeController.ProcessingRequest | DEBUG | Обращение к базе данных, обновление бронирования комнаты 

2019-11-03 18:32:17.8566 | HotelEpam.Controllers.HomeController.ProcessingRequest | INFO | Обновление бронирование с 30 выполнено успешно 

2019-11-03 18:32:17.8715 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:17.8715 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

2019-11-03 18:32:18.2272 | HotelEpam.Controllers.HomeController.ProcessingRequest | DEBUG | Обращение к базе данных, обновление бронирования комнаты 

2019-11-03 18:32:18.2361 | HotelEpam.Controllers.HomeController.ProcessingRequest | INFO | Обновление бронирование с 32 выполнено успешно 

2019-11-03 18:32:18.2461 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:18.2461 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

2019-11-03 18:32:18.6278 | HotelEpam.Controllers.HomeController.ProcessingRequest | DEBUG | Обращение к базе данных, обновление бронирования комнаты 

2019-11-03 18:32:18.6378 | HotelEpam.Controllers.HomeController.ProcessingRequest | INFO | Обновление бронирование с 33 выполнено успешно 

2019-11-03 18:32:18.6378 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:18.6597 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

2019-11-03 18:32:19.0225 | HotelEpam.Controllers.HomeController.ProcessingRequest | DEBUG | Обращение к базе данных, обновление бронирования комнаты 

2019-11-03 18:32:19.0285 | HotelEpam.Controllers.HomeController.ProcessingRequest | INFO | Обновление бронирование с 34 выполнено успешно 

2019-11-03 18:32:19.0424 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:19.0424 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

2019-11-03 18:32:19.4121 | HotelEpam.Controllers.HomeController.ProcessingRequest | DEBUG | Обращение к базе данных, обновление бронирования комнаты 

2019-11-03 18:32:19.4230 | HotelEpam.Controllers.HomeController.ProcessingRequest | INFO | Обновление бронирование с 35 выполнено успешно 

2019-11-03 18:32:19.4400 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:19.4509 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

2019-11-03 18:32:19.8109 | HotelEpam.Controllers.HomeController.ProcessingRequest | DEBUG | Обращение к базе данных, обновление бронирования комнаты 

2019-11-03 18:32:19.8109 | HotelEpam.Controllers.HomeController.ProcessingRequest | INFO | Обновление бронирование с 36 выполнено успешно 

2019-11-03 18:32:19.8298 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:19.8428 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

2019-11-03 18:32:20.1965 | HotelEpam.Controllers.HomeController.ProcessingRequest | DEBUG | Обращение к базе данных, обновление бронирования комнаты 

2019-11-03 18:32:20.1965 | HotelEpam.Controllers.HomeController.ProcessingRequest | INFO | Обновление бронирование с 37 выполнено успешно 

2019-11-03 18:32:20.2204 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:20.2304 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

2019-11-03 18:32:20.5780 | HotelEpam.Controllers.HomeController.ProcessingRequest | DEBUG | Обращение к базе данных, обновление бронирования комнаты 

2019-11-03 18:32:20.5780 | HotelEpam.Controllers.HomeController.ProcessingRequest | INFO | Обновление бронирование с 38 выполнено успешно 

2019-11-03 18:32:20.5960 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:20.6079 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

2019-11-03 18:32:20.9622 | HotelEpam.Controllers.HomeController.ProcessingRequest | DEBUG | Обращение к базе данных, обновление бронирования комнаты 

2019-11-03 18:32:20.9622 | HotelEpam.Controllers.HomeController.ProcessingRequest | INFO | Обновление бронирование с 39 выполнено успешно 

2019-11-03 18:32:20.9831 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение комнат 

2019-11-03 18:32:20.9831 | HotelEpam.Controllers.HomeController.NotProcessedRequests | DEBUG | Обращение к базе данных, получение запросов на проживание 

